x,y,z,mydata.TRUTH
21.3819,43.9247,-139.9741,4
21.3827,43.929,-139.9975,4
21.382,43.9269,-139.9778,4
21.382,43.9269,-139.9778,4
21.3649,43.922,-139.9887,4
21.3597,43.9335,-140.0029,4
21.3112,43.9541,-140.0255,4
21.3141,43.9961,-140.0309,4
21.3233,44.0178,-140.0314,4
21.3214,44.0666,-140.0127,4
21.3421,44.1185,-140.0125,4
21.3941,44.1904,-139.9835,4
21.4196,44.272,-140.0113,4
21.4202,44.3472,-139.9769,4
21.4196,44.4312,-139.9621,4
21.436,44.5204,-139.9357,4
21.444,44.5869,-139.9516,4
21.4757,44.6747,-140.0225,4
21.5384,44.7522,-140.0338,4
21.6118,44.832,-140.041,4
21.7285,44.8974,-140.0837,4
21.7921,44.9685,-140.1624,4
21.8068,45.0291,-140.1896,4
21.8567,45.0572,-140.2338,4
21.8781,45.0929,-140.3116,4
21.8989,45.1232,-140.4287,4
21.8947,45.1474,-140.4764,4
21.8792,45.1528,-140.5548,4
21.8837,45.1322,-140.6182,4
21.8719,45.1099,-140.6724,4
21.8583,45.0783,-140.7142,4
21.8619,45.0373,-140.7345,4
21.7721,44.9673,-140.7282,4
21.7199,44.884,-140.7616,4
21.6638,44.7904,-140.8051,4
21.6021,44.6995,-140.8153,4
21.5692,44.6165,-140.839,4
21.5618,44.5322,-140.859,4
21.5007,44.4409,-140.9333,4
21.4971,44.3662,-140.9631,4
21.5081,44.3033,-140.9899,4
21.5339,44.2284,-141.0267,4
21.5516,44.1684,-141.1086,4
21.5699,44.1163,-141.1265,4
21.6035,44.079,-141.1657,4
21.5862,44.0357,-141.2185,4
21.5636,43.9757,-141.2017,4
21.5599,43.9036,-141.1775,4
21.5226,43.8505,-141.1429,4
21.4688,43.7911,-141.081,4
21.4712,43.7522,-141.0652,4
21.4856,43.7092,-141.0415,4
21.4663,43.6607,-141.0173,4
21.4566,43.6318,-140.9607,4
21.4641,43.6012,-140.9733,4
21.4291,43.6005,-141.0156,4
21.4479,43.5925,-141.0167,4
21.4591,43.5814,-141.0186,4
21.4662,43.5454,-141.0155,4
21.4596,43.5267,-141.0269,4
21.4439,43.5042,-141.0182,4
21.4321,43.4813,-141.0174,4
21.4014,43.4387,-141.0359,4
21.3829,43.418,-141.0194,4
21.3641,43.3982,-140.9953,4
21.37,43.3891,-140.9652,4
21.3698,43.3808,-140.9325,4
21.3685,43.3889,-140.9044,4
21.393,43.4154,-140.9131,4
21.4514,43.4569,-140.9288,4
21.4737,43.4819,-140.9839,4
21.4767,43.5076,-141.0185,4
21.504,43.527,-141.0428,4
21.4868,43.5184,-141.0491,4
21.453,43.5155,-141.0729,4
21.3855,43.4904,-141.0784,4
21.344,43.4647,-141.0876,4
21.3044,43.4373,-141.0951,4
21.3021,43.4233,-141.1033,4
21.3122,43.4153,-141.1136,4
