x3,y3,z3,TRUTH
44.0659,18.0861,-138.0669,4
44.0683,18.0758,-138.1031,4
44.0584,18.0545,-138.1373,4
44.0645,18.0464,-138.1522,4
44.0551,18.0187,-138.1872,4
44.0416,17.9794,-138.2083,4
44.0215,17.966,-138.2578,4
44.0098,17.9383,-138.2905,4
44.0002,17.9267,-138.3094,4
43.9806,17.8953,-138.3153,4
43.971,17.8822,-138.3354,4
43.948,17.8604,-138.3709,4
43.9321,17.8424,-138.3811,4
43.9153,17.8369,-138.3861,4
43.9065,17.8192,-138.3721,4
43.8949,17.8086,-138.398,4
43.8963,17.8164,-138.3773,4
43.8795,17.8108,-138.3823,4
43.8844,17.8354,-138.3572,4
43.8887,17.8297,-138.3338,4
43.8886,17.8612,-138.3093,4
43.8957,17.8386,-138.2934,4
43.9005,17.8568,-138.2852,4
43.8943,17.8651,-138.2705,4
43.8856,17.8474,-138.2567,4
43.8725,17.8326,-138.2388,4
43.8725,17.8326,-138.2388,4
43.8725,17.8326,-138.2388,4
43.8721,17.8479,-138.2466,4
43.8866,17.8795,-138.2181,4
43.8831,17.9024,-138.216,4
43.9005,17.8997,-138.2245,4
43.9308,17.9182,-138.2456,4
43.9385,17.9276,-138.2568,4
43.9621,17.9468,-138.2623,4
43.967,17.9711,-138.237,4
43.9817,17.9929,-138.2388,4
43.9978,18.0067,-138.22,4
43.9985,18.0287,-138.2159,4
44.0027,18.0165,-138.2275,4
43.9996,18.0051,-138.2851,4
44.0003,17.9817,-138.3434,4
44.0252,17.9869,-138.4013,4
44.0105,17.9892,-138.4224,4
43.9786,17.9903,-138.4043,4
43.9567,17.9523,-138.4107,4
43.9389,17.9357,-138.4216,4
43.9232,17.9361,-138.4679,4
43.9085,17.8967,-138.4853,4
43.8953,17.8842,-138.4952,4
43.8707,17.8745,-138.5253,4
43.8592,17.8675,-138.5445,4
43.8424,17.8399,-138.5409,4
43.8305,17.8415,-138.5466,4
43.8166,17.8242,-138.5691,4
43.806,17.8096,-138.5882,4
43.7955,17.795,-138.6073,4
43.7884,17.7807,-138.6459,4
43.7804,17.7633,-138.6695,4
43.7458,17.7175,-138.6889,4
43.7194,17.714,-138.679,4
43.6929,17.7167,-138.6639,4
43.6683,17.6354,-138.659,4
43.6395,17.5669,-138.6656,4
43.6401,17.5623,-138.6441,4
43.6522,17.595,-138.617,4
43.6619,17.6471,-138.6413,4
43.6785,17.6845,-138.6796,4
43.6972,17.6848,-138.7188,4
43.7088,17.6876,-138.7782,4
43.7237,17.7206,-138.8586,4
43.7403,17.7338,-138.8793,4
43.7183,17.7152,-138.9149,4
43.6975,17.6865,-138.9402,4
43.6949,17.6603,-138.9398,4
43.6854,17.6524,-138.9607,4
43.7028,17.6426,-139.0045,4
43.7168,17.6387,-139.0213,4
43.7087,17.6469,-139.0409,4
43.7185,17.6663,-139.0544,4
43.7325,17.6385,-139.0902,4
43.7411,17.6129,-139.1372,4
43.7491,17.614,-139.122,4
43.7525,17.6335,-139.1256,4
43.7659,17.6415,-139.1269,4
43.7762,17.6307,-139.1391,4
43.7742,17.6244,-139.1729,4
43.7645,17.596,-139.2257,4
43.7721,17.5572,-139.2931,4
43.7781,17.5228,-139.3193,4
43.7757,17.5167,-139.3707,4
43.7827,17.5136,-139.4084,4
