z,x,y,z,y,TRUTH,,,
-139.9741,21.3819,43.9247,4,4,4,,-149.8723,40.79
-139.9975,21.3827,43.929,4,4,4,,-146.85415,42.0413
-139.9778,21.382,43.9269,4,4,4,,-143.5085,43.1164
-139.9778,21.382,43.9269,4,4,4,,-142.38995,43.55525
-139.9887,21.3649,43.922,4,4,4,,-139.9357,45.1528
-140.0029,21.3597,43.9335,4,4,4,,,
-140.0255,21.3112,43.9541,4,4,4,,,
-140.0309,21.3141,43.9961,4,4,4,,,
-140.0314,21.3233,44.0178,4,4,4,,,
-140.0127,21.3214,44.0666,4,4,4,,,
-140.0125,21.3421,44.1185,4,4,4,,,
-139.9835,21.3941,44.1904,4,4,4,,,
-140.0113,21.4196,44.272,4,4,4,,,
-139.9769,21.4202,44.3472,4,4,4,,,
-139.9621,21.4196,44.4312,4,4,4,,,
-139.9357,21.436,44.5204,5,4,4,,,
-139.9516,21.444,44.5869,4,4,4,,,
-140.0225,21.4757,44.6747,4,4,4,,,
-140.0338,21.5384,44.7522,4,4,4,,,
-140.041,21.6118,44.832,4,4,4,,,
-140.0837,21.7285,44.8974,4,4,4,,,
-140.1624,21.7921,44.9685,4,4,4,,,
-140.1896,21.8068,45.0291,4,4,4,,,
-140.2338,21.8567,45.0572,4,4,4,,,
-140.3116,21.8781,45.0929,4,4,4,,,
-140.4287,21.8989,45.1232,4,4,4,,,
-140.4764,21.8947,45.1474,4,4,4,,,
-140.5548,21.8792,45.1528,4,5,4,,,
-140.6182,21.8837,45.1322,4,4,4,,,
-140.6724,21.8719,45.1099,4,4,4,,,
-140.7142,21.8583,45.0783,4,4,4,,,
-140.7345,21.8619,45.0373,4,4,4,,,
-140.7282,21.7721,44.9673,4,4,4,,,
-140.7616,21.7199,44.884,4,4,4,,,
-140.8051,21.6638,44.7904,4,4,4,,,
-140.8153,21.6021,44.6995,4,4,4,,,
-140.839,21.5692,44.6165,4,4,4,,,
-140.859,21.5618,44.5322,4,4,4,,,
-140.9333,21.5007,44.4409,4,4,4,,,
-140.9631,21.4971,44.3662,4,4,4,,,
-140.9899,21.5081,44.3033,4,4,4,,,
-141.0267,21.5339,44.2284,4,4,4,,,
-141.1086,21.5516,44.1684,4,4,4,,,
-141.1265,21.5699,44.1163,4,4,4,,,
-141.1657,21.6035,44.079,4,4,4,,,
-141.2185,21.5862,44.0357,4,4,4,,,
-141.2017,21.5636,43.9757,4,4,4,,,
-141.1775,21.5599,43.9036,4,4,4,,,
-141.1429,21.5226,43.8505,4,4,4,,,
-141.081,21.4688,43.7911,4,4,4,,,
-141.0652,21.4712,43.7522,4,4,4,,,
-141.0415,21.4856,43.7092,4,4,4,,,
-141.0173,21.4663,43.6607,4,4,4,,,
-140.9607,21.4566,43.6318,4,4,4,,,
-140.9733,21.4641,43.6012,4,4,4,,,
-141.0156,21.4291,43.6005,4,4,4,,,
-141.0167,21.4479,43.5925,4,4,4,,,
-141.0186,21.4591,43.5814,4,4,4,,,
-141.0155,21.4662,43.5454,4,3,4,,,
-141.0269,21.4596,43.5267,4,3,4,,,
-141.0182,21.4439,43.5042,4,3,4,,,
-141.0174,21.4321,43.4813,4,3,4,,,
-141.0359,21.4014,43.4387,4,3,4,,,
-141.0194,21.3829,43.418,4,3,4,,,
-140.9953,21.3641,43.3982,4,3,4,,,
-140.9652,21.37,43.3891,4,3,4,,,
-140.9325,21.3698,43.3808,4,3,4,,,
-140.9044,21.3685,43.3889,4,3,4,,,
-140.9131,21.393,43.4154,4,3,4,,,
-140.9288,21.4514,43.4569,4,3,4,,,
